Source,Target,Type,Id,Label,timeset,Weight
55859088,24457357,Directed,664,,,1
55859088,27835117,Directed,665,,,1
55859088,29560623,Directed,666,,,1
55859088,48920357,Directed,667,,,1
55859088,58591324,Directed,668,,,1
55859088,103643300,Directed,669,,,1
55859088,123135073,Directed,670,,,1
55859088,263173351,Directed,671,,,1
55859088,335066620,Directed,672,,,1
57578133,4163556,Directed,673,,,1
57578133,8091161,Directed,674,,,1
57578133,10038725,Directed,675,,,1
57578133,11032809,Directed,676,,,1
57578133,11396061,Directed,677,,,1
57578133,11758244,Directed,678,,,1
57578133,12545133,Directed,679,,,1
57578133,13678754,Directed,680,,,1
57578133,19745720,Directed,681,,,1
57578133,22643458,Directed,682,,,1
57578133,24457357,Directed,683,,,1
57578133,27835117,Directed,684,,,1
57578133,29560623,Directed,685,,,1
57578133,31918619,Directed,686,,,1
57578133,48920357,Directed,687,,,1
57578133,52524300,Directed,688,,,1
57578133,69615977,Directed,689,,,1
57578133,87659298,Directed,690,,,1
57578133,117257470,Directed,691,,,1
57578133,123135073,Directed,692,,,1
57578133,138662527,Directed,693,,,1
57578133,169281899,Directed,694,,,1
57578133,319946857,Directed,695,,,1
57578133,321380523,Directed,696,,,1
57578133,321776160,Directed,697,,,1
57578133,335066620,Directed,698,,,1
58591324,606935,Directed,699,,,1
58591324,1687066,Directed,700,,,1
58591324,1895348,Directed,701,,,1
58591324,8091161,Directed,702,,,1
58591324,11032809,Directed,703,,,1
58591324,13678754,Directed,704,,,1
58591324,19745720,Directed,705,,,1
58591324,22643458,Directed,706,,,1
58591324,24457357,Directed,707,,,1
58591324,27835117,Directed,708,,,1
58591324,29560623,Directed,709,,,1
58591324,55859088,Directed,710,,,1
58591324,112323601,Directed,711,,,1
58591324,117257470,Directed,712,,,1
58591324,118572183,Directed,713,,,1
58591324,123135073,Directed,714,,,1
58591324,163604438,Directed,715,,,1
58591324,169281899,Directed,716,,,1
58591324,335066620,Directed,717,,,1
63059154,3962774,Directed,718,,,1
63059154,8443582,Directed,719,,,1
63059154,13570592,Directed,720,,,1
63059154,13901621,Directed,721,,,1
63059154,15214765,Directed,722,,,1
63059154,19528233,Directed,723,,,1
63059154,29318531,Directed,724,,,1
63059154,29577094,Directed,725,,,1
63059154,30326447,Directed,726,,,1
63059154,30637530,Directed,727,,,1
63059154,33291061,Directed,728,,,1
63059154,36531766,Directed,729,,,1
63059154,39283361,Directed,730,,,1
63059154,49737902,Directed,731,,,1
63059154,54719519,Directed,732,,,1
63059154,54805716,Directed,733,,,1
63059154,118145874,Directed,734,,,1
63059154,133009701,Directed,735,,,1
63059154,135539293,Directed,736,,,1
63059154,143018151,Directed,737,,,1
63059154,144977816,Directed,738,,,1
63059154,145599925,Directed,739,,,1
63059154,171081009,Directed,740,,,1
63059154,182912631,Directed,741,,,1
63059154,184481239,Directed,742,,,1
63059154,265064671,Directed,743,,,1
63059154,348985678,Directed,744,,,1
63632030,7291997,Directed,745,,,1
63632030,13901621,Directed,746,,,1
63632030,29318531,Directed,747,,,1
63632030,36013631,Directed,748,,,1
63632030,51040071,Directed,749,,,1
68797455,34338675,Directed,750,,,1
68797455,52524300,Directed,751,,,1
69615977,11396061,Directed,752,,,1
69615977,19745720,Directed,753,,,1
69615977,24457357,Directed,754,,,1
69615977,57578133,Directed,755,,,1
69615977,87659298,Directed,756,,,1
69615977,138662527,Directed,757,,,1
69615977,169281899,Directed,758,,,1
69615977,319946857,Directed,759,,,1
69615977,321380523,Directed,760,,,1
72323949,1880860,Directed,761,,,1
72323949,15214765,Directed,762,,,1
72323949,78669494,Directed,763,,,1
72323949,129922299,Directed,764,,,1
72323949,137829508,Directed,765,,,1
72323949,168914237,Directed,766,,,1
72323949,185821111,Directed,767,,,1
78669494,72323949,Directed,768,,,1
78669494,129922299,Directed,769,,,1
78669494,137829508,Directed,770,,,1
